"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Estimated annual rate per 10,000"
"2023","Community District","112","6","3","Manhattan","Washington Heights and Inwood (CD12)","Washington Heights and Inwood (CD12)  Manhattan","350","160.9"
"2023","Community District","414","6","4","Queens","Rockaway and Broad Channel (CD14)","Rockaway and Broad Channel (CD14)  Queens","299","159.2"
"2023","Community District","210","6","1","Bronx","Throgs Neck and Co-op City (CD10)","Throgs Neck and Co-op City (CD10)  Bronx","261","157.1"
"2023","Community District","412","6","4","Queens","Jamaica and Hollis (CD12)","Jamaica and Hollis (CD12)  Queens","508","154.8"
"2023","Community District","105","6","3","Manhattan","Midtown (CD5)","Midtown (CD5)  Manhattan","38","154.4"
"2023","Community District","208","6","1","Bronx","Riverdale and Fieldston (CD8)","Riverdale and Fieldston (CD8)  Bronx","202","151.8"
"2023","Community District","313","6","2","Brooklyn","Coney Island (CD13)","Coney Island (CD13)  Brooklyn","191","138.2"
"2023","Community District","309","6","2","Brooklyn","South Crown Heights and Lefferts Gardens (CD9)","South Crown Heights and Lefferts Gardens (CD9)  Brooklyn","175","133.4"
"2023","Community District","304","6","2","Brooklyn","Bushwick (CD4)","Bushwick (CD4)  Brooklyn","215","125.6"
"2023","Community District","318","6","2","Brooklyn","Flatlands and Canarsie (CD18)","Flatlands and Canarsie (CD18)  Brooklyn","350","118.2"
"2023","Community District","404","6","4","Queens","Elmhurst and Corona (CD4)","Elmhurst and Corona (CD4)  Queens","288","112.4"
"2023","Community District","413","6","4","Queens","Queens Village (CD13)","Queens Village (CD13)  Queens","269","106.2"
"2023","Community District","403","6","4","Queens","Jackson Heights (CD3)","Jackson Heights (CD3)  Queens","258","103.8"
"2023","Community District","408","6","4","Queens","Hillcrest and Fresh Meadows (CD8)","Hillcrest and Fresh Meadows (CD8)  Queens","211","101.7"
"2023","Community District","306","6","2","Brooklyn","Park Slope and Carroll Gardens (CD6)","Park Slope and Carroll Gardens (CD6)  Brooklyn","122","100.3"
"2023","Community District","104","6","3","Manhattan","Clinton and Chelsea (CD4)","Clinton and Chelsea (CD4)  Manhattan","76","99.8"
"2023","Community District","107","6","3","Manhattan","Upper West Side (CD7)","Upper West Side (CD7)  Manhattan","198","96.1"
"2023","Community District","501","6","5","Staten Island","St. George and Stapleton (CD1)","St. George and Stapleton (CD1)  Staten Island","314","95.6"
"2023","Community District","409","6","4","Queens","Kew Gardens and Woodhaven (CD9)","Kew Gardens and Woodhaven (CD9)  Queens","217","92.2"
"2023","Community District","410","6","4","Queens","South Ozone Park and Howard Beach (CD10)","South Ozone Park and Howard Beach (CD10)  Queens","175","91.9"
"2023","Community District","401","6","4","Queens","Long Island City and Astoria (CD1)","Long Island City and Astoria (CD1)  Queens","183","88.0"
"2023","Community District","106","6","3","Manhattan","Stuyvesant Town and Turtle Bay (CD6)","Stuyvesant Town and Turtle Bay (CD6)  Manhattan","59","83.3"
"2023","Community District","314","6","2","Brooklyn","Flatbush and Midwood (CD14)","Flatbush and Midwood (CD14)  Brooklyn","225","82.7"
"2023","Community District","307","6","2","Brooklyn","Sunset Park (CD7)","Sunset Park (CD7)  Brooklyn","148","81.1"
"2023","Community District","101","6","3","Manhattan","Financial District (CD1)","Financial District (CD1)  Manhattan","36","74.8"
"2023","Community District","301","6","2","Brooklyn","Greenpoint and Williamsburg (CD1)","Greenpoint and Williamsburg (CD1)  Brooklyn","231","74.3"
"2023","Community District","405","6","4","Queens","Ridgewood and Maspeth (CD5)","Ridgewood and Maspeth (CD5)  Queens","171","69.8"
"2023","Community District","407","6","4","Queens","Flushing and Whitestone (CD7)","Flushing and Whitestone (CD7)  Queens","204","67.7"
"2023","Community District","402","6","4","Queens","Woodside and Sunnyside (CD2)","Woodside and Sunnyside (CD2)  Queens","112","64.9"
"2023","Community District","315","6","2","Brooklyn","Sheepshead Bay (CD15)","Sheepshead Bay (CD15)  Brooklyn","106","39.2"
"2023","Community District","411","6","4","Queens","Bayside and Little Neck (CD11)","Bayside and Little Neck (CD11)  Queens","62","37.6"
"2023","Community District","406","6","4","Queens","Rego Park and Forest Hills (CD6)","Rego Park and Forest Hills (CD6)  Queens","43","37.2"
"2023","Community District","311","6","2","Brooklyn","Bensonhurst (CD11)","Bensonhurst (CD11)  Brooklyn","109","36.6"
"2023","Community District","310","6","2","Brooklyn","Bay Ridge and Dyker Heights (CD10)","Bay Ridge and Dyker Heights (CD10)  Brooklyn","70","34.7"
"2023","Community District","102","6","3","Manhattan","Greenwich Village and Soho (CD2)","Greenwich Village and Soho (CD2)  Manhattan","19","34.5"
"2023","Community District","502","6","5","Staten Island","South Beach and Willowbrook (CD2)","South Beach and Willowbrook (CD2)  Staten Island","71","33.6"
"2023","Community District","108","6","3","Manhattan","Upper East Side (CD8)","Upper East Side (CD8)  Manhattan","48","22.2"
"2023","Community District","312","6","2","Brooklyn","Borough Park (CD12)","Borough Park (CD12)  Brooklyn","99","20.7"
"2023","Community District","503","6","5","Staten Island","Tottenville and Great Kills (CD3)","Tottenville and Great Kills (CD3)  Staten Island","51","20.6"
